,,BusStopCode,RoadName,Description,Latitude,Longitude,UpDown,LeftRight,HDB_Bus_Distance,Postal
,266,76279,Tampines St 45,Blk 491C,1.361885607,103.9550458,26,0,119.95906,525491
65258,259,76241,Tampines Ave 7,Blk 497D,1.358458027,103.9591706,27,0,117.0213655,520497
,260,76249,Tampines Ave 7,Blk 370,1.358366398,103.9594744,27,0,146.0176194,520497
,261,76251,Tampines St 45,Blk 487B,1.359708269,103.9582372,27,0,56.57700049,520497
,262,76259,Tampines St 45,Opp Blk 487B,1.359670158,103.9584245,27,0,41.36207193,520497
13283,259,76241,Tampines Ave 7,Blk 497D,1.358458027,103.9591706,27,0,43.08333923,523497
,260,76249,Tampines Ave 7,Blk 370,1.358366398,103.9594744,27,0,68.25973809,523497
,261,76251,Tampines St 45,Blk 487B,1.359708269,103.9582372,27,0,134.4110262,523497
,262,76259,Tampines St 45,Opp Blk 487B,1.359670158,103.9584245,27,0,117.5901119,523497
71461,292,76441,Tampines St 33,OPP BLK 345,1.352195034,103.9610519,27,-2,158.9659513,520338
,293,76449,Tampines St 33,Blk 343,1.352075082,103.9611301,27,-2,165.5586062,520338
,294,76451,Tampines St 33,BLK 324,1.35220341,103.9592861,27,-2,51.03133157,520338
,295,76459,Tampines St 33,Blk 323,1.352080031,103.9587319,27,-2,103.1222101,520338
35305,296,76461,Tampines St 34,Eden Condo,1.356109722,103.9598183,27,-1,195.7986739,520362
,297,76469,Tampines St 34,East Spring Sec Sch,1.356303394,103.9598505,27,-1,191.6866146,520362
46677,136,84251,Bedok Nth Ave 4,Blk 99,1.333468321,103.938838,23,-5,167.6840982,460096
,137,84259,Bedok Nth Ave 4,Blk 88,1.333288076,103.9391068,23,-5,136.3468622,460096
,138,84261,Bedok Nth Ave 4,Saint Anthony's Canossian School,1.334189,103.941658,23,-5,179.1463787,460096
,139,84269,Bedok Nth Ave 4,Blk 95,1.334023333,103.9418503,23,-5,188.1039526,460096
14653,145,84301,Bedok Nth Ave 1,Blk 41,1.327821402,103.9265663,20,-7,61.64314583,461041
,146,84309,Bedok Nth Ave 1,Blk 423,1.328028033,103.926874,20,-7,101.4461787,461041
,187,84541,Chai Chee St,Blk 42,1.327618019,103.9251916,20,-7,118.3461701,461041
,188,84549,Chai Chee St,Opp Blk 42,1.327201689,103.9251209,20,-7,124.7404074,461041
74668,265,76271,Tampines St 45,Dunman Sec Sch,1.361811672,103.9551834,26,0,76.65929889,524491
,266,76279,Tampines St 45,Blk 491C,1.361885607,103.9550458,26,0,71.80115202,524491
72945,288,76421,Tampines St 32,Opp Blk 331,1.353841243,103.9598719,27,-1,193.4488464,520357
,290,76431,Tampines St 33,BLK 333,1.353726389,103.9612131,27,-1,54.58422157,520357
80243,297,76469,Tampines St 34,East Spring Sec Sch,1.356303394,103.9598505,27,-1,193.6738622,520370
85804,475,21771,Yung Ho Rd,AFT CORP DR,1.326579924,103.7237302,-20,-7,158.6263393,611138
,476,21779,Yung Ho Rd,Aft Yuan Ching Rd,1.326435722,103.7242577,-20,-7,166.8717734,611138
53458,310,53361,Sin Ming Ave,Blk 454,1.359298333,103.8303208,1,0,102.4476613,570452
,311,53369,Sin Ming Ave,Opp Blk 454,1.359473443,103.8301456,1,0,109.0906825,570452
80514,292,76441,Tampines St 33,OPP BLK 345,1.352195034,103.9610519,27,-2,115.2738372,520332
,293,76449,Tampines St 33,Blk 343,1.352075082,103.9611301,27,-2,130.8262521,520332
,294,76451,Tampines St 33,BLK 324,1.35220341,103.9592861,27,-2,188.9480027,520332
35409,296,76461,Tampines St 34,Eden Condo,1.356109722,103.9598183,27,-1,177.4256694,521367
,297,76469,Tampines St 34,East Spring Sec Sch,1.356303394,103.9598505,27,-1,155.7118241,521367
78725,263,76261,Tampines St 45,Blk 489B,1.361640056,103.9574003,26,0,129.5056007,521488
,264,76269,Tampines St 45,Opp Blk 489A,1.361878204,103.9573982,26,0,155.3900179,521488
,276,76349,Tampines Ave 9,Dunman Sec Sch,1.360385137,103.9555657,26,0,176.4329144,521488
77887,292,76441,Tampines St 33,OPP BLK 345,1.352195034,103.9610519,27,-2,132.1669565,520337
,293,76449,Tampines St 33,Blk 343,1.352075082,103.9611301,27,-2,143.3681406,520337
,294,76451,Tampines St 33,BLK 324,1.35220341,103.9592861,27,-2,68.74822997,520337
,295,76459,Tampines St 33,Blk 323,1.352080031,103.9587319,27,-2,131.6473909,520337
38220,112,84111,Bedok Sth Rd,Temasek JC,1.319588026,103.935742,22,-8,163.9832419,460019
,113,84119,Bedok Sth Rd,Opp Temasek JC,1.319689028,103.9350681,22,-8,88.42593219,460019
52340,171,75281,Tampines Ave 9,Blk 742A,1.360227893,103.9336381,22,0,132.1124233,520740
,172,75289,Tampines Ave 9,Opp Blks 741/742,1.360456672,103.9333167,22,0,132.8953996,520740
,178,75339,Tampines St 71,Blk 734,1.358463099,103.9341521,22,0,179.6655623,520740
84367,168,75269,Tampines Ave 6,Opp Blks 710/713,1.359172864,103.9381421,23,0,113.162532,523523
,299,76511,Tampines Concourse,The Tampines Trilliant,1.359138,103.939389,23,0,101.1212235,523523
,300,76519,Tampines Concourse,BET BLKS 524B/523D,1.359206245,103.9392187,23,0,84.87125628,523523
,303,76541,Tampines Ave 9,Citylife@ Tampines,1.360247,103.940633,23,0,199.7376861,523523
,304,76549,Tampines Ave 9,Opp Citylife@ Tampines,1.360559,103.940515,23,0,197.2555117,523523
44977,225,76071,Tampines Ave 2,Blk 141,1.348026389,103.9451781,24,-3,160.0112051,520140
25613,136,84251,Bedok Nth Ave 4,Blk 99,1.333468321,103.938838,23,-5,87.04530191,460099
,137,84259,Bedok Nth Ave 4,Blk 88,1.333288076,103.9391068,23,-5,82.09644078,460099
85640,168,75269,Tampines Ave 6,Opp Blks 710/713,1.359172864,103.9381421,23,0,34.24184205,521523
,299,76511,Tampines Concourse,The Tampines Trilliant,1.359138,103.939389,23,0,115.0974786,521523
,300,76519,Tampines Concourse,BET BLKS 524B/523D,1.359206245,103.9392187,23,0,95.02725609,521523
73925,290,76431,Tampines St 33,BLK 333,1.353726389,103.9612131,27,-1,197.3035434,520354
37661,136,84251,Bedok Nth Ave 4,Blk 99,1.333468321,103.938838,23,-5,100.8673575,460100
,137,84259,Bedok Nth Ave 4,Blk 88,1.333288076,103.9391068,23,-5,118.8170278,460100
23944,224,76069,Tampines Ave 5,Blk 147,1.348753421,103.9420863,23,-2,54.19472797,521147
23690,294,76451,Tampines St 33,BLK 324,1.35220341,103.9592861,27,-2,195.6062691,520322
,295,76459,Tampines St 33,Blk 323,1.352080031,103.9587319,27,-2,149.5675846,520322
74809,310,53361,Sin Ming Ave,Blk 454,1.359298333,103.8303208,1,0,35.90636448,570454
,311,53369,Sin Ming Ave,Opp Blk 454,1.359473443,103.8301456,1,0,63.26316913,570454
51755,259,76241,Tampines Ave 7,Blk 497D,1.358458027,103.9591706,27,0,193.3354975,520487
,261,76251,Tampines St 45,Blk 487B,1.359708269,103.9582372,27,0,49.90355276,520487
,262,76259,Tampines St 45,Opp Blk 487B,1.359670158,103.9584245,27,0,68.84877867,520487
13030,265,76271,Tampines St 45,Dunman Sec Sch,1.361811672,103.9551834,26,0,155.7240246,527491
,266,76279,Tampines St 45,Blk 491C,1.361885607,103.9550458,26,0,140.5544413,527491
,277,76351,Tampines Ave 9,Blk 484,1.362138224,103.9530913,26,0,171.3488369,527491
66076,306,53341,Sin Ming Ave,Bright Hill Stn Exit 2,1.363556389,103.8339417,2,1,102.3567546,570408
,307,53349,Sin Ming Ave,Bright Hill Stn Exit 1,1.363739827,103.8337932,2,1,124.0867551,570408
76885,296,76461,Tampines St 34,Eden Condo,1.356109722,103.9598183,27,-1,126.4627462,520364
,297,76469,Tampines St 34,East Spring Sec Sch,1.356303394,103.9598505,27,-1,104.8642392,520364
33452,87,65011,Punggol Rd,Opp The Rivervale,1.381596968,103.8972095,14,4,66.26228171,541264
,88,65019,Punggol Rd,The Rivervale,1.381514078,103.8974924,14,4,84.57658022,541264
87090,441,21561,Corporation Dr,Blk 158,1.328893152,103.7227432,-20,-6,181.2019965,612138
,442,21569,Corporation Dr,Opp Blk 158,1.328572039,103.7228981,-20,-6,157.0316651,612138
,473,21761,Yuan Ching Rd,Blk 138B,1.328313333,103.7247681,-20,-6,52.72368431,612138
,474,21769,Yuan Ching Rd,Opp Blk 138B,1.328475541,103.7249038,-20,-6,66.9020091,612138
52273,225,76071,Tampines Ave 2,Blk 141,1.348026389,103.9451781,24,-3,177.770622,520143
17122,452,80229,Sims Dr,Blk 45,1.317289721,103.8781055,11,-9,37.79332129,380045
,455,80249,Sims Pl,Blk 49 Mkt/FC,1.316936431,103.8798599,11,-9,163.4831075,380045
,461,80289,Sims Pl,Sims Pl Ter,1.316075,103.8793281,11,-9,171.1360064,380045
74835,310,53361,Sin Ming Ave,Blk 454,1.359298333,103.8303208,1,0,91.83314493,570451
,311,53369,Sin Ming Ave,Opp Blk 454,1.359473443,103.8301456,1,0,107.1968294,570451
53191,157,84361,Bedok Nth Rd,Blk 547,1.329366389,103.924625,20,-6,81.05090171,461045
,158,84369,Bedok Nth Rd,Blk 45,1.329162,103.924608,20,-6,58.42930459,461045
,190,84559,Chai Chee St,Opp Blks 50/51,1.328333051,103.9228712,20,-6,183.6380844,461045
76901,171,75281,Tampines Ave 9,Blk 742A,1.360227893,103.9336381,22,0,77.32528181,520742
,172,75289,Tampines Ave 9,Opp Blks 741/742,1.360456672,103.9333167,22,0,96.46471329,520742
,178,75339,Tampines St 71,Blk 734,1.358463099,103.9341521,22,0,152.7194321,520742
76072,292,76441,Tampines St 33,OPP BLK 345,1.352195034,103.9610519,27,-2,179.8331305,520324
,293,76449,Tampines St 33,Blk 343,1.352075082,103.9611301,27,-2,190.4210814,520324
,294,76451,Tampines St 33,BLK 324,1.35220341,103.9592861,27,-2,26.94882859,520324
,295,76459,Tampines St 33,Blk 323,1.352080031,103.9587319,27,-2,86.06760902,520324
80291,288,76421,Tampines St 32,Opp Blk 331,1.353841243,103.9598719,27,-1,186.3479457,520356
,290,76431,Tampines St 33,BLK 333,1.353726389,103.9612131,27,-1,79.50795745,520356
69686,265,76271,Tampines St 45,Dunman Sec Sch,1.361811672,103.9551834,26,0,91.26438093,523491
,266,76279,Tampines St 45,Blk 491C,1.361885607,103.9550458,26,0,75.81336741,523491
,277,76351,Tampines Ave 9,Blk 484,1.362138224,103.9530913,26,0,180.5674029,523491
300,113,84119,Bedok Sth Rd,Opp Temasek JC,1.319689028,103.9350681,22,-8,197.5361816,460001
62202,171,75281,Tampines Ave 9,Blk 742A,1.360227893,103.9336381,22,0,120.7493642,520739
,172,75289,Tampines Ave 9,Opp Blks 741/742,1.360456672,103.9333167,22,0,136.9109043,520739
,178,75339,Tampines St 71,Blk 734,1.358463099,103.9341521,22,0,134.7026979,520739
85916,168,75269,Tampines Ave 6,Opp Blks 710/713,1.359172864,103.9381421,23,0,87.55694657,524523
,299,76511,Tampines Concourse,The Tampines Trilliant,1.359138,103.939389,23,0,58.65161234,524523
,300,76519,Tampines Concourse,BET BLKS 524B/523D,1.359206245,103.9392187,23,0,38.3249211,524523
23543,265,76271,Tampines St 45,Dunman Sec Sch,1.361811672,103.9551834,26,0,44.19797151,522491
,266,76279,Tampines St 45,Blk 491C,1.361885607,103.9550458,26,0,28.24530954,522491
69610,294,76451,Tampines St 33,BLK 324,1.35220341,103.9592861,27,-2,120.0516923,520323
